Class,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
Cyanobacteriia,0.000542627569654597,0.000976944118796405,0.000915442062153698,0.000921622840559249,0,0,0,0,0,0,0.00010924186148132,0.00277420916419967,0.00470391470234673,0.00897527456619506,0.0172417278111293,0.0010051070303162,0,0.000570287995437696,0,0,0,0,0,0,0,0.000938861348955986,0.00944617801269397,0.012026326722498,0.00720113303145758,0.00440324449594438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteriota Phylum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06391364986963e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194280385452285,0,0
Deferrimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151745068285281,0,0,0,0.000136337962331769,0,0,0,0,0,0,0,0.000867396725577361,0.00129457818327528,0.00091204342216488,0.000189334174818555,0.00133241295169602,0.00649665470765054,0.00263046643806661,0.00111374077683419,0,0.000564042303172738,0.000485700963630712,0.000171031127665235,0.000323779275042785
Dehalobacteriia,0.000208702911405614,0.000334952269301625,0.000361358708744881,0.000647096888052238,0,0,0,0,0,0,0.00160221396839269,0.00376100839710291,0.00221258210073346,0.000868574958018877,0.000545752228488266,0.000298815603607519,0,0,0,0,0,0,0,0,0,0.000488207901457113,0.00169818930565285,0.0020772746157042,0.000379007001655662,0.000212437234453457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dehalococcoidia,0.00463320463320463,0.00708982303355105,0.0072753553360636,0.00819656058199502,0.00292202698462504,0.00833526279231304,0.00925612371599503,0.00477469412115786,0.00209287512511753,0.000483792936623125,0.00174786978370111,0.00160122139678639,0.001446018223314,0.00129321160416144,0.00121278272997393,0.0201564707160708,0.0264023089471703,0.0236986344770776,0.0276927707821201,0.0096190412276581,0.0140141924901045,0.0460823064403627,0.0419222903885481,0.00336443851964705,0.00210804980880478,0.00461919783686345,0.0056040247086544,0.00378282640544027,0.00273283995930662,0.00428736964078795,0.0136570561456753,0.00101395056116919,0.000765696784073507,0.00149634499337683,0.00921255088327523,0.00653927028213601,0.00142617748778836,0.00129551038641948,0.00239513961911438,0.00278671439575876,0.00144894244871274,0.00328185995094483,0.00704759839531606,0.00653453749653238,0.00638430395515416,0.0191017145261386,0.034145088533222,0.0269077862891496,0.0156888533984687,0.00111374077683419,0,0.00401880141010576,0.00561470313957103,0.00209038044924176,0.00217394656100156
Desulfarculia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78907193207929e-05,9.06248583986587e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfitobacteriia,0,0,0,0,0,0,0,0,0,0,0,0.00163845910368839,0.00238680116378334,0.00181435657897277,0.000687243546985224,0,0,0,0,0,0,0,0,0,0,0,0.00072173045490246,0.000874641943454398,0.000937543635674533,0.000463499420625724,0,0,0,0.000196241966344503,0,0,0,0,0,0,0.00038874065697171,0,0,0,0,0,0,0,0,0,0,0,0.000932545850170967,0.000494089924366235,0
Desulfobaccia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118023941999663,0,0,0.000269832703723691,0,0.000716315825958361,0.00164010411095661,0.00321643958007594,0.00459555243992678,0.00265077710816077,0.00256215433004082,0.00310913047984247,0.000379486067440095,0,0.000289184499710815,0,0,0,0,0,0,0.00150411280846063,0.00190394777743239,0.00068412451066094,0.000462541821489693
Desulfobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271992539633199,0,0
Desulfobacterota Phylum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70903035816155e-05
Desulfobulbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214588985453932,0,0,0,0,0,0,0,0.000214199478132181,0.000226562145996647,0.000159030268761154,0.000138183576881888,0,0,0,0,0,0,0,0,0,0.00138660399529965,0.00128225054398508,0.000456083007107294,0.000185016728595877
Desulfomonilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000306555693505618,0,0,0,0,0.000184855697021513,0.000980497022854494,0.00245700245700246,0.00136308758811388,0.000974217227785582,0.000901171522979874,0.00150274639859053,0.000189743033720048,0,0,0,0,0,0,0,0,0.000564042303172738,0,0.000171031127665235,0.000185016728595877
Desulfotomaculia,0,0,0,0,0,0,0,0,0,0,0.000546209307406598,0.00227150012102255,0.00153312775483893,7.72066629350113e-05,6.06391364986963e-05,0,0,0,0,0,0,0,0,0,0,0,0.00159205247404954,6.55981457590799e-05,0,0.000193124758594052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfuromonadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154413325870023,0,0.000353145713354341,0.000276069770360146,0.000253461331305643,0.000376260472583154,0,0,0,0,0,0,0.000300435631665916,0.000467002059054533,0,0.000119686421575472,9.65623792970259e-05,0.000413850186232584,0,0.000332911645249351,0.000637786390619634,0.000175291665855131,0.000300390507659958,0.000998324241451849,0.00359615814161269,0.00810063480936246,0.00464452399293126,0.00302157510646193,0.00381732131136214,0,0,0,0,0,0,0,0,0,0.00192714453584019,0.00114625427416848,0.00066512105203147,0.000323779275042785
Dethiobacteria,0,0,0,0,0,0,0,0,0,0,0,0.000446852482824108,0.000644610533284552,0.000115809994402517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017492838869088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41485221415799e-05,0,0,0,0,0,0,0,0,7.70903035816155e-05
Dojkabacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86033314675056e-05,0.000101065227497827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dormibacteria,0.0623813002191381,0.0834589404343214,0.0820766080462539,0.0904759103476676,0.117704737998117,0.147858300532531,0.172028445648493,0.106684571769621,0.0441626982923352,0.0215846079416471,0.0227223071881145,0.0255450669347782,0.0202616770327009,0.0194946823910903,0.0234269197339963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199477369292454,0.000193124758594052,0.00297359022700449,0.066116569350722,0.0727411944869832,0.0763135946622185,0.157080809457959,0.0651847401622109,0.0187185795272222,0.00944829126647308,0.0113720450208358,0.0098781095654538,0.0144010743378156,0.0313158531108578,0.00574650330695002,0.00520913602317911,0.00631756907060551,0.00955085726306932,0.0100974427303228,0.00727237467274314,0,0.00120655250823704,0,0,0.000796549580354367,0.000608110676143058,0.00064755855008557
