Phylum,4.5_0,4.5_0.1,4.5_0.2,4.5_0.3,4.5_10,4.5_11,4.5_12,4.5_13,4.5_14,4.5_4,4.5_5,4.5_6,4.5_7,4.5_8,4.5_9,4.5_M11,4.5_M5,7.5_0,7.5_0.1,7.5_0.2,7.5_0.3,7.5_10,7.5_11,7.5_12,7.5_13,7.5_14,7.5_4,7.5_5,7.5_6,7.5_7,7.5_8,7.5_9,7.5_M14,7.5_M4,CM_0,CM_0.1,CM_0.2,CM_0.3,CM_10,CM_11,CM_5,CM_6,CM_7,CM_8,CM_9,CM_M11,CM_M5,LD_0,LD_0.1,LD_0.2,LD_0.3,LD_10,LD_11,LD_12,LD_13,LD_4,LD_5,LD_6,LD_7,LD_8,LD_9,LD_M13,LD_M4
Chlamydiota,0,0,0,0,0,34,15,3,0,0,0,0,0,0,0,10074583,0,2,4,0,4,0,24,23,4,15,0,0,0,0,0,0,0,0,0,125,40,40,56,113,0,0,0,2,40,0,0,28,0,8,0,30,146,107,21,0,0,0,0,0,0,25491348,0
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85323235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28526580,0,0,0,0,0,0,0,0,0,0,0,0,25202754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87777522
Chloroflexota,6421,8025,8738,11412,5714,6265,3526,2260,2448,8688,5222,3837,2178,4599,5760,0,0,4713,6554,5342,6575,2584,2334,1136,922,1281,10648,6574,4188,2756,971,1828,0,0,5722,384,648,760,931,986,4909,1631,1254,1249,1652,0,0,2229,2695,2093,3301,6268,5099,1748,2125,10567,10880,2401,1293,916,2679,0,0
CLD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,34,259,174,54,0,0,0,0,0,0,0,0
CSP1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,22,14,0,10,12,0,10,8,20,13,0,0,0,0,0,0,14,0,24,8,9,145,23,13,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteriota,26,35,38,47,3,157,282,465,863,0,0,0,0,0,0,0,0,42,5,18,0,25,491,569,396,245,32,9,0,0,0,0,0,0,72,6,0,10,56,80,0,0,0,5,35,0,0,27,115,93,152,202,226,50,65,17,13,0,0,0,29,0,0
Dependentiae,4,2,3,4,3,42,118,120,88,0,0,0,0,0,0,0,0,0,6,2,0,0,17,73,121,93,0,0,0,0,0,0,0,0,0,103,20,162,224,772,0,0,0,2,63,56780535,0,138,29,5,33,3,142,425,348,0,0,0,0,0,0,0,0
Desulfobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,20,17,11,321,361,3,43,173,301,471,17549221,13790326,303,28,0,13,390,658,192,78,0,0,0,0,0,47,0,0
Desulfobacterota_B,29,29,28,38,15,33,24,10,13,8,0,15,28,27,0,0,0,160,140,81,119,428,258,121,58,111,153,89,35,0,0,329,0,0,1182,235,230,260,180,286,324,693,745,257,236,0,131619228,517,1069,868,1223,586,503,294,404,1019,1399,332,576,377,261,0,0
Desulfobacterota_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,3,10,0,0,0,0,15,0,0,0,106,77,135,1971,2268,543,390,10,0,0,0,6,94,24447500,0
Desulfobacterota_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,7,0,0,0,0,0,0,0,32,42,41,24,25,9,21,9,83,134,56,24,0,0,0
Desulfobacterota_F,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,11,8,15,8,22,0,6,5,0,0,0,0,0,0,0,0,53,0,10,40,263,212,9,13,56,181,514,0,0,252,0,0,0,260,182,91,59,0,0,0,0,0,0,0,0
Desulfobacterota_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,6,20,11,0,4,20,33,28,0,0,25,10,0,5,82,33,21,35,0,0,0,0,0,44,0,0
Dormibacterota,2989,2990,3407,4614,624,1372,1163,1010,1159,6002,3193,3048,2145,1456,580,0,22757597,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,194,1891,2185,3111,436,815,8065,2821,1050,423,584,0,58663601,1813,212,169,284,0,41,32,42,454,629,150,0,26,0,0,0
Eisenbacteria,0,0,0,0,0,11,8,0,0,6,0,0,0,0,0,0,0,753,794,553,855,258,200,204,247,214,978,1165,892,772,239,195,0,0,759,0,0,0,0,0,20,0,0,0,0,0,0,4,285,261,309,93,108,148,169,1803,3023,685,408,141,86,0,33501520
Elusimicrobiota,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,34,11,0,25,49,137,61,32,16,0,0,0,0,0,21,0,0,94,15,0,17,73,114,74,243,181,89,121,0,73740923,275,44,143,124,353,304,56,86,6,8,0,0,0,148,0,0
Eremiobacterota,1429,2184,2542,2728,872,1100,1028,819,725,215,155,505,1218,1970,1094,0,13071035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,80,153,96,35,73,134,99,80,58,31,0,0,86,200,121,231,29,29,28,32,91,168,61,42,18,0,0,0
FCPU426,22,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,22,17,19,0,117,130,54,19,0,0,0,0,0,5,35,0,0,133,25,24,106,242,257,0,0,4,47,189,0,0,100,59,43,77,570,938,251,128,0,0,0,0,0,45,0,0
Fibrobacterota,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,11,7,128,179,145,47,0,0,0,0,0,2,0,0,21,0,0,0,7,0,3,0,0,0,0,0,0,2,0,0,0,28,7,9,5,0,0,0,0,0,0,0,0
Firmicutes_F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16983743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadota,637,300,285,270,68,185,171,165,186,335,301,263,380,398,95,6665824,96652778,446,675,413,574,45,139,117,97,142,409,487,529,380,59,23,0,0,707,443,410,707,74,150,2852,605,169,78,101,18736725,81640222,561,435,329,502,85,80,75,127,1216,2820,567,155,71,0,0,84816924
Goldbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,13,0,0,0,0,0,0,0,6,0,0,0,0,62,6,0,0,0,0,0,0,0,0,0
Halobacteriota,42,3,3,0,31,204,158,42,18,0,0,0,0,3,0,7451272,0,225,21,10,17,147,2382,1586,455,169,4,0,0,0,4,27,0,0,3,3,4,13,28,32,0,0,0,11,58,0,0,36,2,7,0,10,24,23,22,0,0,0,0,0,0,0,0
Hydrogenedentota,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,18,20,9,20,0,103,0,3,5,3,0,0,0,0,0,0,0,23,8,0,18,45,13,4,0,0,22,68,0,0,38,16,0,18,9,119,72,31,0,0,0,0,0,14,0,0
Iainarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JACPWU01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,6,0,0,0,0,0,0,0,0
JADJOY01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Krumholzibacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margulisbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacteriota,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,30,7,11,22,107,0,0,0,3,7,0,0,42,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0
Methylomirabilota,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,0,0,832,639,634,802,119,170,165,200,211,1717,1690,1227,569,130,113,0,25344846,1174,42,61,88,50,58,732,328,165,61,80,0,13522188,218,1105,1148,1344,227,349,299,398,2316,6861,1650,446,219,121,0,23039415
Micrarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,109,212,0,0,13,53,136,16888583,0,92,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0
Myxococcota,230,14,22,34,26,56,60,49,45,155,52,15,36,77,0,0,54131570,798,413,308,374,46,213,142,206,178,1103,502,343,166,101,42,0,47076441,603,54,67,66,83,108,920,290,93,52,73,0,12006146,262,146,98,140,143,241,119,97,2121,2273,464,73,28,0,0,67734867
Myxococcota_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,134,93,118,10,59,31,8,33,622,297,141,62,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,28,73,82,7,7,12,0,373,413,43,0,0,0,0,0
Nanoarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,10,15,15,156,144,205,295,0,0,0,0,0,0,0,0,16,0,0,0,5,48,0,0,0,0,2,0,0,25,13,15,25,58,30,32,49,0,0,0,0,0,0,0,0
Nitrospinota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,5,3,5,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Nitrospirota,11,0,0,0,0,10,0,0,0,0,0,0,0,27,15,0,0,177,68,71,71,161,157,74,48,104,0,0,0,0,486,427,17003044,0,868,215,154,200,3230,2253,17,53,217,769,3648,153711196,0,1528,175,195,322,2390,1673,524,455,4,10,22,49,238,489,16518180,0
