Family,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
UBA10450,0.0224355629761035,0.00128398369898956,0.00127680077089858,0.00168637370825735,0,0,0,0.00109420073609868,0.0148321150171373,0.0883480331956384,0.084079819386789,0.0254333538140721,0.0105054095019077,0.00793298461657241,0.00921714874780183,0.0217863740084755,0.01551010164387,0.0156195545417102,0.0166808809511865,0,0,0,0.00385759434839189,0.0628451723481242,0.0825571134424943,0.0618146312152621,0.0156870237109682,0.00712833183915335,0.00508667291695757,0.00652761684047895,0.0252295335755123,0,0,0,0,0,0,0.000156354701809247,0,0,0,0,0.0225252087173371,0.0229941743981753,0.0291408995862437,0.00115704217944672,0.000401329202318077,0,0.00380478181220349,0.0390737389205996,0.0921550773949298,0.0500587544065805,0.0194863226608642,0.0120291893124549,0.00923541836907754
UBA10988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185030091735972,0.000462139242553781,0.000196099404570899,0,0.000136308758811388,4.53124291993294e-05,0,0.000397277783535427,0,0,0,0.00021037130535395,0,0,0,0,0,0,0,0,0
UBA11236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162990329240465,0,0,0.000200672252044349,0,0,0,0,0,9.80488283165016e-05,0,0.000233501029527267,6.55981457590799e-05,9.97386846462269e-05,0.000173812282734647,0.000321883478180899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000658049353701528,0,0,7.70903035816155e-05
UBA11320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319163790867926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA11346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137950062077528,0.00031467431208699,0,0,0.000136337962331769,0,0.000142617748778836,0,7.78907193207929e-05,0,0,0.000103637682661416,0,0,0,0.000694225307668034,0.000545807715152585,0,9.39452299309503e-05,0,0,0,0,0,0
UBA1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134219179920811,0.000320935705880255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA11358,0.00148179067097986,0,0,0,0,0,0,0,0,0.00271668341334524,0.00815672565727187,0.00337001247463181,0.00123695534765414,0.000714161632148854,0.00070745659248479,0.01051287623601,0.00574727067386121,0.0065266292811203,0.00584457934079165,0,0,0,0.00162669641197249,0.0147273535199645,0.0437297774291597,0.0281282860147213,0.00989195270542784,0.00450440600879015,0.00377012227962738,0.00426805716492854,0.00573259146855505,0.0480752421244012,0.0504028230907517,0.039052151302556,0.000954365736322381,0.00214894747787508,0.00722002353192855,0.0287916015188742,0.0436772208591346,0.0299515157007567,0.0149135052038238,0.0200538915949839,0.0134717553941234,0.019788552230065,0.0231347599768652,8.41485221415799e-05,0,0,0,0,0.0125077874155365,0.0202820211515864,0.0075769350326391,0.00507392345406864,0.00289859541466874
UBA1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150583511105534,0,0,0,0,0,0.000278862242052426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA11579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255351515810062,0.00496925586648262,0.00633653328264107,0.00524256258465861,8.94794532805405e-05,0,0,0,0,0.0114226884988724,0.00893796004206099,0.0033963786113057,0.00129009686659524,0.000718118529452834,0.000946311317110854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291227908830337,0,0,0.00034342344110288,0,0,0,0.000446727719454992,0.00190832262335943,0.00131406044678055,0.000724471224356369,0.000535461360417314,0,0,0,0,0,0,0,0,0,0.00336075205640423,0.00149595896798259,0.000418076089848352,0.000123344485730585
