Order,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
Anaerolineales,0.000772200772200772,0,0,0,0,0,0,0.000646573162240127,0.00112226637143984,0,0.000473381399752385,0.00037237706902009,0.000121953344134915,0.00013511166013627,0.000202130454995654,0.00709007932196023,0.00981302547371063,0.0134017678927859,0.0117894948076055,0.000514506856363108,0,0.00372006510113927,0.00906302286670385,0.000698279692756935,0.015050495146583,0.0145711281357969,0.00562525207497506,0.0020772746157042,0.00113702100496699,0.00218230977211278,0.0115571496451618,0.00059438481171987,0.00143152007457221,0.00134916351861846,0.00344740276181758,0.00374332786468563,0.00128355973900952,0.000536073263345991,0.000642598434396542,0.000294530789795641,0.000477090806283463,0.00271185269630704,0.00487910658137265,0.00690441697746818,0.00444899230324332,0.000967708004628169,0.00308220827380283,0.025792688839329,0.0191648269059139,0.00515105109285814,0.0100637370010064,0.00498237367802585,0.00359418713086727,0.00123522481091559,0.00272899674678919
Aneurinibacillales,0,0,0,0,0,0,0,0,0,0,0.000473381399752385,0,0.000104531437829927,0,0,0,0,0,0,0,0,0,0,0,0,0.000713534625206549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anstonellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231753841765608,0.00118382845655573,0.00251197569809557,0.00235624631836513,0.00369303624123125,0.00150274639859053,0,0,0,0,0,0,0,0,0,0,0,0,0.000308361214326462
Aquiviventales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108660219493643,0.000175680762956456,0.000316826664132053,0.000150504189033261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178958906561081,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90604915861257e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armatimonadales,0.000396535531670667,0,0,0,3.92218387197992e-05,0,0,0,0.00015165761776214,0.000781511666852741,0.000873934891850557,0.000223426241412054,0.000278750500879806,0.000173714991603775,0.000525539182988701,0,0.000100389007403689,0,0,0,0,0,0.000232385201710355,0,0,0,0,0,0.000139634158504718,0.000115874855156431,0,0.00062934862417398,0.000366202809774286,0.000220772212137566,0.000233722221140175,0,0.000873533711270367,0.00147420147420147,0.00161623242590645,0.000928904798586252,0.000530100895870514,0.000742736725740146,0,0,0,0,0,0,0,0,0,0.000188014101057579,0,0.000190034586294706,0.000169598667879554
ASV10169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31113916061849e-05,0,0,0,0,0,0,0,0,0
ASV10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81595042781693e-05,0,0,0,0,0,0,0,0
ASV10192,4.17405822811228e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10199,0,0,0,0,0,0,0,0,0,0,0,3.7237706902009e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10202,0,0,0,0,0,0,0,0,0,0,0,3.7237706902009e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37320971727199e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47397266402702e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13190457511679e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13190457511679e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62139242553781e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20742610707899e-05,0,0,0,0,0,0,0,0,0
ASV10397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20742610707899e-05,0,0,0,0,0,0,0,0,0
ASV1629,0,0,0,0.000235307959291723,0,0,0,0,0,0,0,0.000242045094863058,0.00090593912785937,0.00225829489084908,0.000929800092980009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2222,0,0,0,0,0,0,0,0,0,0,0,0.000204807387961049,0.000365860032404746,0.00117740160975892,0.000687243546985224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052143684820394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV4616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308826651740045,0.00048511309198957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000788308774483051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212318323071281,0.000525539182988701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059868675164156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116861110570087,0.000138641772766134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277283545532269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212437234453457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196099404570899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
